,i,j,w
500,34,33,1721.09245285392
501,35,0,1.99875640869141
502,35,1,2.55867594480515
503,35,2,0.380182981491089
504,35,8,1.74672544002533
505,35,12,0.631885230541229
506,35,13,17.3404194116592
507,35,14,4.74228060245514
508,35,15,3.15705764293671
509,35,16,12.2908735275269
510,35,17,10.7822199463844
511,35,18,3.30215120315552
512,35,20,2.45231688022614
513,35,21,2.47288134694099
514,35,22,91.786531329155
515,35,24,1.25471639633179
516,35,26,0.497415691614151
517,35,27,3.80172622203827
518,35,28,29.2507132589817
519,35,29,625.024032473564
520,35,30,3.7579964697361
521,35,31,44.9343572854996
522,35,32,77.6809159219265
523,35,33,1304.81331861019
524,35,34,161.964476943016
525,36,0,9.96482764184475
526,36,1,8.55810183286667
527,36,2,1.8003086745739
528,36,8,1.4284371137619
529,36,9,1.71917480230331
530,36,11,0.864365756511688
531,36,12,1.83559662103653
532,36,13,3.71741086244583
533,36,15,0.447172462940216
534,36,16,1.40602898597717
535,36,18,2.96918842196465
536,36,20,4.11858490109444
537,36,21,1.84024524688721
538,36,22,36.780851662159
539,36,24,0.830979019403458
540,36,26,2.34194979071617
541,36,27,0.374745815992355
